,reviews
1435,"
Nice
"
1436,"
I loved it very much 🥰🥰🥰🥰
"
1437,"
Bag can be used for carrying clothes not any goods, as material is soft and not even for fit for 3rd standard students for school purpose , Avoid buying for kids.
"
1438,"
compared to the picture the product looks very good..I liked the quality of the product..let see for the durabilty..
"
1439,"
It's not good
"
1440,"
The bag stitching tore within one month.From the handle as well as inner material
"
1441,"
Material is good and the bag is spacious
"
1442,"
Good
"
1443,"
Stitching is too bad
"
1444,"




                    The media could not be loaded.
                



Best bag ever seen
"
1445,"
Like
"
1446,
1447,"
Please don't buy this item because after one wash It became completely bad, its stitched out and could not used for more than a week so please don't buy
"
1448,"
The quality is so bad please don’t buy it
"
1449,"




                    The media could not be loaded.
                



Very poor quality product.Please Solve my problem.
"
1450,"
Need immediate replacement. Product started wearing and tearing within a month of use
"
1451,"




                    The media could not be loaded.
                



Worst product ever very disappointed😞
"
1452,
1453,"
It's ok good fabric so much space and it's cute for girls and even though bottle can lick so much good.
"
1454,"
It's awesome 💥, and value for money ✔️* The bag is stiched nicely 👍🏻* The design are awesome and looks good in blue colour . 🤩* It is suitable for 5 to 10 or 12 classes .. 👍🏻👍🏻Best bag 🛍️🙏🏻Thank you Amazon 🙏🏻✨💫
"
1455,"
Product it good as it get touchered by my kid in school, and still it's intact. Built quality is good . So far it's a good purchase.
"
1456,"
The product meets expectations and is exactly as shown in the picture on the website. The fabric is of good quality and looks pretty. I bought it for my cousin of grade 10. I was worried if the product would be smaller in size when I ordered it but surprisingly it's big enough for 10th grade students.
"
1457,"
Very good bag but it's length very big compare to my daughter's height
"
1458,"
Good material, light weight. I went for 2nd one. Zippers are of good quality. Bag material is good. Size is of medium quality. Now it's my favorite bag.
"
1459,"
My daughter liked the bag. It's a beautiful one. Thanks for sending additional small cute bag with this.
"
1460,"
I will never recommend this bag because in picture look like different but in reality look bad 😭 I was waiting for my for 4 days after seeing it you all waste your time on this bag
"
1461,"
very cute and sturdy, quite spacious.
"
1462,"
Not even two months of use and the bag is torn... Tinytot must provide free repairing... As the company is charging more than 1k for the product and not even 1 year it's durable
"
1463,"
Best quality but little bit expensive 🙂🙂
"
1464,"
The bag ordered was delivered on time and is of good quality. 👍
"
1465,"
The item had 2 designed in one picture  I was expecting to get the 1st design but ended up getting the second one. I was a bit furious because I didn't liked the second design but the quality was amazing.
"
1466,"
The product meets expectations and is exactly as shown in the picture on the website. The fabric is of good quality and looks pretty. I bought it for my cousin of grade 10. I was worried if the product would be smaller in size when I ordered it but surprisingly it's big enough for 10th grade students.
"
1467,"
Very good bag but it's length very big compare to my daughter's height
"
1468,"
Good material, light weight. I went for 2nd one. Zippers are of good quality. Bag material is good. Size is of medium quality. Now it's my favorite bag.
"
1469,"
My daughter liked the bag. It's a beautiful one. Thanks for sending additional small cute bag with this.
"
1470,"
I will never recommend this bag because in picture look like different but in reality look bad 😭 I was waiting for my for 4 days after seeing it you all waste your time on this bag
"
1471,"
very cute and sturdy, quite spacious.
"
1472,"
Not even two months of use and the bag is torn... Tinytot must provide free repairing... As the company is charging more than 1k for the product and not even 1 year it's durable
"
1473,"
Best quality but little bit expensive 🙂🙂
"
1474,"
The bag ordered was delivered on time and is of good quality. 👍
"
1475,"
The item had 2 designed in one picture  I was expecting to get the 1st design but ended up getting the second one. I was a bit furious because I didn't liked the second design but the quality was amazing.
"
1476,"
I ordered different colour but delivered me another but bag quality is good.but colour is not same as i want.
"
1477,"
I like this bag very much but the one thing isme aage ke side thoda sa daag laga hua hai bas woh mujhe disappoint kar rha h baki bag quality every thing is best
"
1478,"
Nice and spacious,  hope it is durable.
"
1479,"
Value for money
"
1480,"
The bag is lightweight and easy for kids manage
"
1481,"
Lots of pockets, my daughter like the colour and paded straps
"
1482,"
The quality of this product is really great, it feels premium. I gave it as a gift to my sister as schools are opening again and she really loved it.
"
1483,"
Product is overall good. Loved it . Has 2 bottle holder. The quality of chains are also goodRecommend to buy . Has 2 main chains and 2 small chains.
"
1484,"
Very good 👍
"
1485,"
Zip is not working now within few monthsBut not service available for solve this problem
"
1486,"




                    The media could not be loaded.
                



Back side of the bag was stain is placed
"
1487,"
Very nice productAlso As shown in d pic..
"
1488,"
Excellent product
"
1489,"
Nice bag it's very beautiful and spacious
"
1490,"
It's truly amazing.
"
1491,"
Amazing bag.It looks stylish and has space.Several pockets.No defect in the product.Go for it!!!
"
1492,"
Good quality
"
1493,"
Quality, colour, everything is just awesome go for it.........❤️
"
1494,"
Within 3 months of usage the backpack strap is torn! It did not even last a year! Such a poor quality product
"
1495,"




                    The media could not be loaded.
                



Arms stiches are removed in three month
"
1496,"
Zeeps very delicate
"
1497,"
See the image, it's been only 1 month and bag is torn
"
1498,"
Worst quality
"
1499,"
The quality is nice. It's got 2 big pockets and 3 small. But i ordered purple and got pink instead. The bag is not bad but i wanted purpleeeeeee 🥲
"
1500,"
A perfect school bag. Awesome design, ample space, excellent quality...Asked for delivery as gift item in Birthday. A perfect gift item as well for a school going kid.
"
1501,"
The material quality of this product is genuinely commendable. From the exterior to the internal components, there's a tangible sense of durability and craftsmanship. The choice of materials not only contributes to a sleek and modern design but also suggests longevity.The space allocation in this product is simply impressive. Every nook and cranny seems to be utilized efficiently, providing ample room for storage or usage.  The thoughtful organization of space adds to the product's overall user-friendliness.
"
1502,"
As shown in the picture. Good quality.
"
1503,"
Very good item against cost
"
1504,"
Very good product
"
1505,"
Very Poor stitching. The bag in the picture is just 1 month old. Not at all worth the price paid.
"
1506,"
Has many compartments. Bag is quite big and can hold many books. There is a place to keep laptop also. Overall satisfactory.
"
1507,"
Size is small for school books
"
1508,"
Big and very tough cloth....need to see how long it would hold well for the students
"
1509,"
Super bag
"
1510,"
Good
"
1511,"
The material quality of this product is genuinely commendable. From the exterior to the internal components, there's a tangible sense of durability and craftsmanship. The choice of materials not only contributes to a sleek and modern design but also suggests longevity.The space allocation in this product is simply impressive. Every nook and cranny seems to be utilized efficiently, providing ample room for storage or usage.  The thoughtful organization of space adds to the product's overall user-friendliness.
"
1512,"
As shown in the picture. Good quality.
"
1513,"
Very good item against cost
"
1514,"
Very good product
"
1515,"
Very Poor stitching. The bag in the picture is just 1 month old. Not at all worth the price paid.
"
1516,"
Has many compartments. Bag is quite big and can hold many books. There is a place to keep laptop also. Overall satisfactory.
"
1517,"
Size is small for school books
"
1518,"
Big and very tough cloth....need to see how long it would hold well for the students
"
1519,"
Super bag
"
1520,"
Good
"
1521,"
Can be used for school and journey luggage
"
1522,"
Not praiseworthy
"
1523,"
I like this bag... Very good for school, college and lugguage purpose also
"
1524,"
Good one thanks
"
1525,"
Size suit my daughters class books as well as snaks and water bottle.
"
1526,"




                    The media could not be loaded.
                



Very very good produc
"
1527,"
****
"
1528,"
Good
"
1529,"
Bag has good space.it has multiple pockets to serve different purposes.its appearance is good and comfortable to use.
"
1530,"
बैग का क्वालिटी अच्छा है पर बैग के मुकाबले प्राइज महंगा है
"
1531,"
Fabric is not good
"
1532,"
Wider in size with many a pockets and nice from outside but inside divider, materials are too weak,
"
1533,"
Good bag but doesn't have a rain cover.Otherwise very Good.
"
1534,"
Phone hoding and laptop hold space and some more area for charger and more
"
1535,"
Best my choice best kit And good quality nice luck
"
1536,"
Quality  not good
"
1537,"
Good quality light weight nice to use
"
1538,"
Very good product.
"
1539,"
Amezon is... good brand and i support to all purchases.
"
1540,"
For a school bag it's okay but not that great for official use
"
1541,"
Good space
"
1542,"
Nice but stiching not proper
"
1543,"
Good
"
1544,"
Nice stitching, vibrant colour my children liked the bag
"
1545,"
It’s superb ! Waterproof, durable , too spacious and with multiple compartments. 100% rating
"
1546,"
Very good, fine finish, proper size and material. The zip buckle is bit thin. Hope it wont get damaged soon. We are happy.
"
1547,"
Very nice product. It's sturdy. Good at this price.
"
1548,"
We are Satisfied about the Bag.
"
1549,"
Quite large and decent quality
"
1550,"
Super quality and spacious
"
1551,"
Super quality
"
1552,"
There is nothing bad but it does feel smaller than expected
"
1553,"
Worth for money.. Nice product
"
1554,"
Good product
"
1555,"
Spacious, very nice
"
1556,"
Good & cheap.
"
1557,"
Good quality 👍
"
1558,"
Best MaterialPerfect StitchesBest Zippers
"
1559,"
Good
"
1560,"
GOOD
"
1561,"
Best quality for this price.
"
1562,"
Lowest price but good material.
"
1563,"
Good
"
1564,"
Basically purchased for a school bag use. The many and roomy compartments make this an ideal choice to sort out books, projects files and snack box. It's got a nice wide & deep water bottle holders. Stitching and zippers are fine as well. Handle strap and shoulder straps have got double stitching. I am happy about this product and feel it is worth the money.
"
1565,
1566,"
Value for money 💰
"
1567,"
Good quality.
"
1568,"
No complains
"
1569,"
Value for money
"
1570,"
Very good quality and nice looking.... Comfortable for my kid...
"
1571,"
I bought this for my daughter....it is of very good quality and highly durable
"
1572,"
It's a very nice hard cotton school bag with so many pockets. The quality is top notch whether we talk about inside space, bottle space with bottom grip, back and shoulder support foam, handle grip, chain quality. Worth buy at this price point with thinking twice.
"
1573,"
Good
"
1574,"
I like ,for my daughter
"
1575,"
Quality is fine
"
1576,"
Value for money.. must have product
"
1577,"
Worth for money..Good quality and more space
"
1578,"
Excellent. Quality good, large space
"
1579,"
Very nice product.
"
1580,"
Value for money
"
1581,"
Good
"
1582,"
Strong & Stylish Bag For Students upto +2
"
1583,"
Excellent product
"
1584,"
stitching already open at a spot when received, and poor finish at another place
"
1585,"
Good size bag for school.. lots of compartments
"
1586,"
The quality is worst. After use for 3 months, it got tear from handle side. Need refund or replacement.
"
1587,"
value for money
"
1588,"
Not worth buying
"
1589,"
My son like this school bag ver much. Received more than which I expected. Excellent school bag with more separate columns to arrange the books. Bought it @ 697/- freeshipping 👍
"
1590,"
User friendly and good quality. Zippers are super smooth. Material of the bag is also good. Overall a bag worth buying.
"
1591,"
Good quality at this price..Excellent space in bag & all compartments are well designed. 👌
"
1592,"
Nice product
"
1593,"
The zip is not strong enough to carry the load of books when full.Zip came apart on just 2 uses
"
1594,"
Quality not good not same quality showing in photo 😔
"
1595,"
The material used are heavy and durable. Stitching quality is also good. Design is also good. Thanks manufacturing company
"
1596,"




                    The media could not be loaded.
                



Very good quality and give the Amazon very thank you
"
1597,"
Bag is same as displayed in the product image
"
1598,"
Strong bag
"
1599,"
Good Quality
"
1600,"
I like the one
"
1601,"
Good give you 5 Star ✨
"
1602,"
Nice very good quality go for it 👍
"
1603,"
It's a Jumbo bag in this price segment.Good one...
"
1604,"
👌
"
1605,"
Good quality and spacious
"
1606,"
Very very nice
"
1607,"
Dislike
"
1608,"
I purchased this product .i liked it very much because it have a huge space for kids books and light in weight
"
1609,"
Nice product
"
1610,"
Good quality
"
1611,"
Worth of money, must go for it .. best bag for school and college... 100% waterproof.. and so many space .. even had a hidden chain for carrying phone .. etc .. i love it 😍🤩💕
"
1612,"
Much expensive  otherwise quality is good
"
1613,"
It's really pretty and perfect for tution or classes and it also has a secret pocket
"
1614,"
The bag is sooo good and i bought in white colour but i got beige (light brown)i actually wanted beige color only and soo luckily i got the aesthetic color i am happy with this bag  and will get all pins and deddy bear and ect i loved th product best for school college and all i suggest go for it
"
1615,"
The bag isn't worth that amount. A thin parachute cloth used. Even light passes through it. The bag will not last much. It's totally a poorest quality bag and will not hold much weight of books. Fragile in cloth quality.
"
1616,"




                    The media could not be loaded.
                



Bhot cute h🥹 quality kafi achi hSpacious hBest purchase ever
"
1617,"
Was a bit sceptical before but the bag came out to be so pretty and cute. The badges and keychains were inside. I would say it could've been around 900 as it seems a bit expensive for the stitching and joints but still turned out too cute. Would highly recommend to give it a try!
"
1618,"
I like this bag design and space too much but, if only one thing should be change that is fabric quality ( fabric will be soft like satin feel by hand shine and smooth)
"
1619,"
My daughter really likes it .it comes with so many compartments and some cute charms this is highly recommended for students.
"
1620,"




                    The media could not be loaded.
                



Same as image bag material is okay but it looks the same and comes with teddy and accessories
"
1621,"
Worth of money, must go for it .. best bag for school and college... 100% waterproof.. and so many space .. even had a hidden chain for carrying phone .. etc .. i love it 😍🤩💕
"
1622,"
Much expensive  otherwise quality is good
"
1623,"
It's really pretty and perfect for tution or classes and it also has a secret pocket
"
1624,"
The bag is sooo good and i bought in white colour but i got beige (light brown)i actually wanted beige color only and soo luckily i got the aesthetic color i am happy with this bag  and will get all pins and deddy bear and ect i loved th product best for school college and all i suggest go for it
"
1625,"
The bag isn't worth that amount. A thin parachute cloth used. Even light passes through it. The bag will not last much. It's totally a poorest quality bag and will not hold much weight of books. Fragile in cloth quality.
"
1626,"




                    The media could not be loaded.
                



Bhot cute h🥹 quality kafi achi hSpacious hBest purchase ever
"
1627,"
Was a bit sceptical before but the bag came out to be so pretty and cute. The badges and keychains were inside. I would say it could've been around 900 as it seems a bit expensive for the stitching and joints but still turned out too cute. Would highly recommend to give it a try!
"
1628,"
I like this bag design and space too much but, if only one thing should be change that is fabric quality ( fabric will be soft like satin feel by hand shine and smooth)
"
1629,"
My daughter really likes it .it comes with so many compartments and some cute charms this is highly recommended for students.
"
1630,"




                    The media could not be loaded.
                



Same as image bag material is okay but it looks the same and comes with teddy and accessories
"
1631,"
Material is also good and bag is also same as pic
"
1632,"
Honestly this is the best offer I have gotten off of Amazon ,the quality of the backpack is of good quality material and I also bought  the backpack at an affordable and it's  convenient ... I use it for school everyday it's love the product totally recommend buying it.
"
1633,"
Very good
"
1634,"
Average product. Sloppy Sewing
"
1635,"
It’s okay but 1300 rs is  little bit expensive for this bag. Pockets are small.
"
1636,"
The product quality was amazing and it came just as shown in the picture, it's waterproof and came with the teddy and badges😆
"
1637,"
So cute... everyone likes it and wants to buy this
"
1638,
1639,"
The waterproffing is amazing it just slides off a small water bottle works best so many pockets,But I would like it if there was more storage and if the bag was a bit on the wider side.
"
1640,"
The quality is so good . I got 4 bagdge it wa s so cute and it first the bag looks small but it was large capacity for everything . So it's best to buy . So if u r looking for a bag it's perfect
"
1641,"
Prize is high tbh💀
"
1642,"
the color was not as shown but I still liked the overall space it gave.
"
1643,"
This bag is amazingIt looks cute and it's functional, but the reason I gave it 4 stars because the product description did not mention that we had to assemble the bagAnd btwFor the people who ordered this,The pins that come with the bag have a protective sticky layer, so you have to peel it off:)
"
1644,"
Supper cuteee .. and awsome
"
1645,"
Worst product
"
1646,"
Not so waterproof
"
1647,"
Nice quality 😄 go for it 👍
"
1648,"
I liked the bag but I paid extra 30 rupees for packing and there was no packing but bag was perfect
"
1649,"
My niece liked the bag.
"
1650,"
Quality is not upto the mark . This is bag is not strong as it's stiches are loose. This doesn't look as it is shown in image.
"
1651,"




                    The media could not be loaded.
                



I don't like it
"
1652,"
Very low quality product. Not worth more than 250 Rs. Picture shown in Amazon is deceptive.
"
1653,"
I love it perfect space
"
1654,"
The bag was very nice in the start. But after two months The zip started dad to give up. I use it for a day-to-day. Base for my and and my laptop fell out twice. Because both the zips gave out on different times so this is not for.  A daily use I would suggest.
"
1655,"




                    The media could not be loaded.
                



It's quality is too poor and can easily get torn
"
1656,"
The quality is fine, I got almost everything but teddy, when we are paying this much amount I think we should get everything which is shown.
"
1657,"
Nice and cuteMust BuyCute colour combination easy to carryNice for gifting purposes just amazing close your eyes and buy this productSpecialy white colour.
"
1658,"
shown in pictures aren't there with my bag and those batches too I mean they have to improve and not be so careless
"
1659,"
The bag was very nice and the quality was awesome.Comes with pins and many charms too. Would recommend this bag
"
1660,"
I ordered the white colour backpack…It’s not exactly white but off-white / beige colour… Still, it’s veryy cute and perfect for travelling…
"
1661,"
didn't receive the badges with it🥲
"
1662,"
The quality was good. best quality at this rate
"
1663,"
Good quality
"
1664,"
Sssoo
"
1665,"
Better
"
1666,"
Very bad quality bag. Wastage of money.
"
1667,"
Nice bag
"
1668,"
Finishing and good quality bag
"
1669,"
Very good 😊
"
1670,"
Theek hai
"
1671,
1672,"
The quality was good. best quality at this rate
"
1673,"
Good quality
"
1674,"
Sssoo
"
1675,"
Better
"
1676,"
Very bad quality bag. Wastage of money.
"
1677,"
Nice bag
"
1678,"
Finishing and good quality bag
"
1679,"
Very good 😊
"
1680,"
Theek hai
"
1681,
1682,"
Good ones
"
1683,"
Bag is good but size is small not enough as per my requirement.
"
1684,"
Nice
"
1685,"
Value for money
"
1686,
1687,"
Less waterproof, quality good, useful
"
1688,"
Stitching not good
"
1689,"
The bag is good. It reflects the quality in its build and has a lot if space. I gave it away as a gift to somebody. So unfortunately I do not have the pictures of the product.
"
1690,"
Quality is good at this price.Value for money 💰💰💰
"
1691,"
Ok👌
"
1692,"
It s a good basic laptop backpack with 2 compartments and is sufficient for daily use. If you get it at a discount, go for it.
"
1693,"
Very good product
"
1694,"
Good Quality and nice look
"
1695,"
Soooooooooo excellent...
"
1696,"
value for money
"
1697,"
My son in 1 std is now using properly getting abused and still so good I can say. I actually bought to carry my gym stuff. But my son took it. He is liking it.
"
1698,"
Value for money
"
1699,"
Very dull colour so better to choose black colour instead of blue
"
1700,"
Water proof zip and value for money.
"
1701,"
valie for money
"
1702,"
👌
"
1703,"
Nice Bag worth to purchase
"
1704,"
Value for money
"
1705,"
Material quality ok but poor stitching
"
1706,"
Its sturdy bag. Compartments also there. Must buy product if requirement of bag is not big and not small
"
1707,"
Durable and good looking bag. Good for school kids and college students. Laptop holder also available for this price.
"
1708,"
In this price this bag is very good
"
1709,"
I AM VERY HAPPY WITH YOUR STANDARD COMPANY PRODUCTS ARE VERY WELL
"
1710,"
Awesome
"
1711,"
Quality of the bag is very good and price worthy.
"
1712,"
I like this bag very good quality.jaisa dikhaya hai same waisa hi aaya hai thx Amazon..
"
1713,"
Product good
"
1714,"
I have never expected such cheap products received from your end as per received item is capacity is 25 Lyrics but on site mentioned 31 Ltr. So disappointed from your vendor and amazon concerned officials for not checking items as per specifications as mentioned on your site.
"
1715,"
My daughter used it only for 1 week and it is torn already
"
1716,"
Good quality
"
1717,"
The strap broke and the bag is torn. Not even one month since i bought this. The label is removed and the packing is thrown away, now cannot even return it. Very disappointed.
"
1718,"
Durable bag with light weight and waterproof having good space inside.
"
1719,"
Good quality material.
"
1720,"
It's nice and good
"
1721,"
Good
"
1722,"
ordered it and stitching is so bad that it tore off on 32nd day of use, not recommended
"
1723,"
After 30 days of use stitches are coming out...highly not recommended
"
1724,"
I used 10 days zip borken...Quality very badPrice is more but quality?
"
1725,"
Within a month it tear, please avoid buying this bag.
"
1726,"
Bahut bekar
"
1727,"
this product is very good product. light wait  and good stuff quality this product is very good product. light wait  and good stuff quality
"
1728,"
Good product this bag is osm really amazing nd good quality . perfect for everyone .. value of money product
"
1729,"
It is best product on Amazon thank you Amazon for this best service
"
1730,"
Really loved it..
"
1731,"
Product quality really good. Thank you.
"
1732,"
it's a nice bag. Comfort for kids and big space in this bag and also attracting bag.. 👍
"
1733,"
Good bag. Colour and material is good.
"
1734,"
Good
"
1735,"
Bag quality is fine but zip quality is too poor, all zips are gone within 2 months
"
1736,"
Nice ....meri beti ko bahut psnd aaya
"
1737,"




                    The media could not be loaded.
                



Superb
"
1738,
1739,"
Good one
"
1740,"
Really loved it..
"
1741,"
Product quality really good. Thank you.
"
1742,"
it's a nice bag. Comfort for kids and big space in this bag and also attracting bag.. 👍
"
1743,"
Good bag. Colour and material is good.
"
1744,"
Good
"
1745,"
Bag quality is fine but zip quality is too poor, all zips are gone within 2 months
"
1746,"
Nice ....meri beti ko bahut psnd aaya
"
1747,"




                    The media could not be loaded.
                



Superb
"
1748,
1749,"
Good one
"
1750,"
अच्छा है लेकिन थोड़ा छोटा है
"
1751,"
The bag quality is very good.... The only difference is in the photo of the bag shownin the site there is 4 pockets but in the real bag 3 pockets are given... ..Otherwise the bag is very good...good colour... Recommended
"
1752,"
Size and space was okQuality was good
"
1753,"
My daughter like so much peepy big bag tq Amazon
"
1754,"
It looks durable, worth the price and value for money. Quality wise also value deal in this price.
"
1755,"
OK product, not 3D cartoon
"
1756,"
Not quality very bad
"
1757,"
Good product
"
1758,"
Bag is good , but zips are not working. Before dispatch the seller has to check all zips and stitching quality etc, It is a small complaint but for children its a dream bag and if zips are working they became neourvous.
"
1759,"
I got little teared bag and also product is not worth money.
"
1760,"
Nice bag
"
1761,"
Best design and quality But not up to the mark
"
1762,"
Nice small size school bag... spacious and colour is good.... suitable for upto 1st class students....
"
1763,"
The bag material is good, however in one months use the chains are not working.
"
1764,"
We brought for our 7 years old daugher, she liked it and it's a nice product.
"
1765,
1766,"
It's gud my son liked it
"
1767,"
Good
"
1768,"
Like
"
1769,"
Its ok but little small .if possible to exchange it with little bigger size ?
"
1770,"
Very good quality and good to carry grips. Nice school bag
"
1771,"
This is a really great quality
"
1772,"
I have received the bag. It's very, very nice. I love it! It's exactly what I wanted. I am pleased with the experience.it's very afordable. And I prefer to all for buy this bag because it's material is also good and comfortable to use.
"
1773,"
Kids like the bag very much, the material is very good, The photo on the bag is attracts the children more. The bag has different sections, it is very good, in this section children can keep a lot of their Belongings separately and properly.
"
1774,"
My kiddo liked it very much since she's a very big fan of Peppa pig
"
1775,"
Zip lock quality not so good
"
1776,"
Good one, received as I expected. My kid was so happy
"
1777,"
Quality is so nice
"
1778,"
Quality is good.
"
1779,"
Good qualitySuitable for kg kids
"
1780,"
3D Spiderman and its designis amazing. Bag material and quality is also good. Lovely product for kids.
"
1781,"
One Zip is broken on the second day.. size is small against expectation.  You can't keep long size books inside the bag..
"
1782,"
Very good bag.quality is superb.my little princess loved spider man bag.wonderful
"
1783,"
Good
"
1784,
1785,"
Bag is good and value for money. My boy loves it.Not many zip options. Good for play school and kindergarten
"
1786,"
Not good quality in just one usage the bag hanger part came out
"
1787,"
Received the damaged one and we don’t have the time to replace it since we are traveling
"
1788,"
Zips are failed
"
1789,"
It looks good but stitching is poor
"
1790,"
Zip got broken in after 15 days of useWill not recommend
"
1791,"
Nice bag , same as seen in the picture.. Suitable for lkg ukg students,2 big compartments and 2 small compartments
"
1792,"
Designed beautifully, keeping in mind choices of kids. Beautiful three dimensional outlook, handy, light weight and water resistant product. Worthy!
"
1793,"
The size and the quality is just perfect!Love how spacious it is.Got it for my boy in grade 1 and it's the perfect size with multiple zippers to keep things organized.
"
1794,"
One of my friend suggested to me for this product.. and really it was awesome 👍.. superb quality of bag.. which is very reasonable price for me..i loved it
"
1795,"
Quality of the bag is superb. Good quality materials is used in making. My nephew is like it.
"
1796,"
I just ordered this wonderful bag .. which is very reasonable price for me.. and quality also very good.. please order right now.
"
1797,"
Guys trust me quality is outstanding .. the material is very good quality used.  Like it
"
1798,"
Great school bag for kids.Perfect size, comfortable straps and cute design.Highly recommend it.
"
1799,"
Bag is very niceProduct material is goodColour very nice same as picMy girl love itValue of moneyChail is good and strong
"
1800,"
Light weightSoft materialWorth buying
"
1801,"
I bought this as a gift to my nephew. It's good in size and Build quality is great. All the zippers and pockets are well executed. Has a water bottle pocket. Print on the front is also good. Overall happy with the product.
"
1802,"
Worth the money , nice bag
"
1803,"
My kids loved it
"
1804,"
Very nice product
"
1805,"
Very good and strong bag.
"
1806,"
Bag is torn after 6 mono from purchase
"
1807,"
Ask to many recire
"
1808,"
Bag is good useful for school and travel . Spacious
"
1809,"
product is durable and nice
"
1810,"
Good
"
1811,"
Bag quality is fine for now.
"
1812,"
Worth the money , nice bag
"
1813,"
My kids loved it
"
1814,"
Very nice product
"
1815,"
Very good and strong bag.
"
1816,"
Bag is torn after 6 mono from purchase
"
1817,"
Ask to many recire
"
1818,"
Bag is good useful for school and travel . Spacious
"
1819,"
product is durable and nice
"
1820,"
Good
"
1821,"
Bag quality is fine for now.
"
1822,"
Super good
"
1823,"




                    The media could not be loaded.
                



Product is okay but in its warranty card no sign or stamp is there. Rest is ok
"
1824,"
it was as look like in the picture absolutely worth it very comfort in travel.
"
1825,"
I purchased this bag based on the reviews no doubt that the quality is good but it is just a school bag there's no space for a laptop
"
1826,"
The bag is a good purchase as it has a lot of space and is pretty comfortable 😁😁😁
"
1827,"
For travel
"
1828,"
Good quality 👍 should try
"
1829,"
Colour very good
"
1830,"
Good quality
"
1831,"
Bag quality is very good.  Must buy product.
"
1832,"
I purchased this bag from amazon and i after receiving it from delivery boy i found it a bit small in size but it is good for single person who is going to his office carrying some documents, tiffin, and water bottle or for a primary school kids. Overall I say that it is a satisfactory product neither good nor bad.
"
1833,"
Very Small for traveling
"
1834,"
It is good one but the colour is very bad it's not the colour shown in the picture. Good quality one .
"
1835,"
Value for money.
"
1836,"
Satisfied with the product.
"
1837,"
Bought all the Top branded bags and ended with zero satisfaction, but this is really the best in all aspects.
"
1838,"
Product is very good quality
"
1839,"




                    The media could not be loaded.
                


"
1840,"
Comfort
"
1841,"
Like
"
1842,"
inside material is not good. The inside stitching is tearing.
"
1843,
1844,"




                    The media could not be loaded.
                



Quality of bag is very nice…delivered on time…value for money….
"
1845,"
Material quality is good enoughVery nice bag
"
1846,"




                    The media could not be loaded.
                



Value for money
"
1847,"
Quality is goodIt is light weightFabric seems to be okay but American Tourister has betterAlso missing is reinforced shoulder straps with added layer on the joint to give more strength
"
1848,"
Quality is not good
"
1849,"
Nice bag
"
1850,"
I like the quality of bag and it is waterproof  which actually  save my books.
"
1851,"
One of the best backpack I have purchased. My daughter is very happy with this bag. It is really a steal deal.
"
1852,"
Very cheap and best in quality
"
1853,"
Good quality bag. Value of cash.
"
1854,"
Quality,degine and the durabality is much good I prefer you to buy it once
"
1855,"
The stitching was broken after 3 weeks of use
"
1856,"
Good
"
1857,"
Excellent Purchase
"
1858,"
Good bag, good space, looks awesome and solid too.
"
1859,"
Weight lessNot comfortableNot for travelingNot easy to useApperance okNot value for money
"
1860,"
Worth for money
"
1861,"
Amazing bag v big excellent material
"
1862,"
So good
"
1863,"
This bag is so beautiful and it's built quality is awesome 👌 👏 👍 😍
"
1864,"
Bag looks good . Nd comfortable to carry. Got a very good price
"
1865,"
Good product. Quality of chain needs to improve.
"
1866,
1867,"
Yes I like it.  This backpack is used for travel purposes
"
1868,"
Bag ki silai nikal gayi
"
1869,"
Material is not good
"
1870,"
Good
"
1871,"
Nice bag
"
1872,"
like
"
1873,"
Zips are that good. If you are planning for stiff bag. This is not the one
"
1874,"
School k Liye nic brand thnx amezon
"
1875,"
There is hole in outermost section
"
1876,"
Nice
"
1877,"
One of the best bag I got purchased . Highly recommend to purchase
"
1878,"
Good Quality. Nice Finish.  Nice look.  Value For Money.
"
1879,"
Good
"
1880,"
Comfort
"
1881,"
Bag is very light weight and smart look. also It Has 4 sections with chain which give enough space to organize books copies, tiffin and Pencil Box. Over all Satisfied with purchase.
"
1882,"
height is not good  (too small) quality is good
"
1883,"
We r using last 6 month everything ok
"
1884,"
Best backpack in budget .I think If you want a waterproof backpack for school it is the the best bag in this budget
"
1885,"
Sticker is not properly paste, it removed.
"
1886,"
Very good much comfortable it carry easily to heavyweight their was dust and water proof also .
"
1887,"
Bag Kafi Best hai. Aur Fabric bhi theek hai. School, College Aur Tourist ke liye theek hai.
"
1888,"
Good product and timely delivery
"
1889,"
Cons:- Has no laptop compartmentHas no seperate pocketsBut Although Good And Nice BAG
"
1890,"
Must purchase. Don't listen to others. Its a large area bag..sorry not area...it's volume😎
"
1891,"
Zips are substandard, compartments are enough and spacious
"
1892,"
This is a very light weight with superb quality backpack.
"
1893,"
Nice bag with good cushioning and zip quality.
"
1894,"
Good product
"
1895,"
I would recommend no as just within 6 months all zip is not working
"
1896,"
I like it bcuz it hv nice features
"
1897,"
Good quality product, colour is same as shown in picture. Value for money
"
1898,"
Very good quality
"
1899,"
Very good quality products 👍
"
1900,"
Large in size and reasonable price.. Good for school going kids upto 8th standard
"
1901,"
Excellent product. Amazing productValue for money
"
1902,"
Make it ur proper partner
"
1903,"
Not bad not good
"
1904,"
Looks good, material good, but size is smaller as per the display
"
1905,"
Nothing special.
"
1906,"
Very very nice quality
"
1907,"
Worth it
"
1908,"
Good productVery spaciousHappy to buy
"
1909,"
Very good and fantastic bag
"
